Date,IWDA.AS,EXSA.DE,EMIM.AS,IEAG.AS,IBGL.AS,4GLD.DE,EQQQ.DE,IPRP.AS,IUSN.DE,BTCE.DE,CL2.PA
2014-08-18,31.100000381469727,23.834739685058594,19.700000762939453,100.40833282470703,160.21841430664062,31.270000457763672,69.13512420654297,21.579082489013672,,,2.069999933242798
2014-08-19,31.28499984741211,23.98272705078125,19.889999389648438,100.52790832519531,160.8965606689453,31.260000228881836,69.6004867553711,21.6140079498291,,,2.098599910736084
2014-08-20,31.3799991607666,23.975688934326172,19.969999313354492,100.64749908447266,161.5507354736328,31.280000686645508,69.9563217163086,21.552141189575195,,,2.1191999912261963
2014-08-21,31.53499984741211,24.123687744140625,19.829999923706055,100.6560287475586,161.5906524658203,30.920000076293945,70.0265121459961,21.7051944732666,,,2.138170003890991
2014-08-22,31.559999465942383,24.06730079650879,19.889999389648438,100.74999237060547,162.0692901611328,31.110000610351562,70.48066711425781,21.794178009033203,,,2.149169921875
2014-08-25,31.875,24.454919815063477,20.040000915527344,101.06603240966797,163.0505828857422,31.079999923706055,71.0237808227539,21.982826232910156,,,2.185699939727783
2014-08-26,31.915000915527344,24.51129150390625,20.200000762939453,101.18563079833984,164.15151977539062,31.270000457763672,71.00973510742188,22.16791343688965,,,2.1923000812530518
2014-08-27,31.8799991607666,24.560630798339844,20.270000457763672,101.35647583007812,165.1327667236328,31.229999542236328,70.99568176269531,22.189273834228516,,,2.1854701042175293
2014-08-28,31.809999465942383,24.39853286743164,20.1200008392334,101.3137435913086,165.15670776367188,31.5,70.97694396972656,22.025541305541992,,,2.1818299293518066
2014-08-29,31.934999465942383,24.426729202270508,20.219999313354492,101.29667663574219,164.89344787597656,31.469999313354492,71.41233825683594,22.03266716003418,,,2.2053699493408203
2014-09-01,32.01499938964844,24.483102798461914,20.31999969482422,101.29667663574219,164.3030548095703,31.510000228881836,71.52002716064453,22.000625610351562,,,2.2118000984191895
